Fn,Stats,GA,PSO
F1,Avg,19.10737293893768,3.6011933307523565
 ,Std,0.6566175077139312,4.5465757765155335
 ,Rank,2.0,1.0
F2,Avg,-183.18247108745595,-186.4112127112689
 ,Std,4.182239542693939,0.0
 ,Rank,2.0,1.0
F3,Avg,317.45268455536825,1.6080350070493565
 ,Std,58.21949123370508,41.22611515842859
 ,Rank,2.0,1.0
F4,Avg,-1.9387207838758276,-2.021806783359787
 ,Std,0.10607360345941318,4.440892098500626e-16
 ,Rank,2.0,1.0
F5,Avg,0.007546718571367589,1.251256043222071e-12
 ,Std,0.006435770789841366,5.447317620966912e-12
 ,Rank,2.0,1.0
F6,Avg,-103964.02385813302,-131029276182.98157
 ,Std,187419.96204962593,235767064872.80276
 ,Rank,1.0,2.0
F7,Avg,12.947373901583228,1.0
 ,Std,40.737356810675735,0.0
 ,Rank,2.0,1.0
F8,Avg,0.050642323,0.0
 ,Std,0.11613958213615272,0.0
 ,Rank,2.0,1.0
F9,Avg,-101.10203933610688,-106.76453674926479
 ,Std,7.122334236423916,1.797546735911271e-14
 ,Rank,2.0,1.0
F10,Avg,4.345956145062328,0.0
 ,Std,18.4847676295897,0.0
 ,Rank,2.0,1.0
F11,Avg,5.087753316283667,0.06258558337333535
 ,Std,3.9221494430563353,0.04341514937635902
 ,Rank,2.0,1.0
F12,Avg,-17.019240460126113,-24.15681554739125
 ,Std,6.562553406550412,3.7261175413410954e-15
 ,Rank,2.0,1.0
F13,Avg,-2.0620661179800037,-2.06261187082274
 ,Std,2.0682669076775378e-05,4.440892098500626e-16
 ,Rank,2.0,1.0
F14,Avg,-23957.150032203404,-24776.5183423177
 ,Std,1705.121194392329,3.637978807091713e-12
 ,Rank,2.0,1.0
F15,Avg,-0.17770792498080906,-1.0
 ,Std,0.3048625573526956,0.0
 ,Rank,2.0,1.0
F16,Avg,0.1285905351948416,6.609911703621605e-71
 ,Std,0.3091929376704688,1.0159655542179923e-70
 ,Rank,2.0,1.0
F17,Avg,3520.0255738000005,1.7127803548621992
 ,Std,15124.836731634949,2.3288234633381846e-16
 ,Rank,2.0,1.0
F18,Avg,-139.139189145104,-139.28982430225568
 ,Std,2.842170943040401e-14,2.842170943040401e-14
 ,Rank,1.0,2.0
F19,Avg,6.163191744000002,2.999999999999922
 ,Std,8.064718464260725,4.965068306494546e-16
 ,Rank,2.0,1.0
F20,Avg,-6.123233995736767e-16,-0.8690111349894998
 ,Std,9.860761315262648e-32,1.1102230246251565e-16
 ,Rank,2.0,1.0
F21,Avg,0.016875000000000168,2.2566563186721122e-06
 ,Std,0.03169064333521815,2.8465516568372306e-06
 ,Rank,1.0,2.0
F22,Avg,0.42888499999999974,1.9721522630525295e-31
 ,Std,0.6085358529084371,3.4158679198689225e-31
 ,Rank,2.0,1.0
F23,Avg,-17.71863991524133,-19.20850256788675
 ,Std,2.021367296927634,5.086711874211983e-15
 ,Rank,2.0,1.0
F24,Avg,-0.4652144019778974,-0.6736675211468551
 ,Std,0.1745166201384736,1.1102230246251565e-16
 ,Rank,1.0,2.0
F25,Avg,0.052375776405003814,1.3497838043956716e-31
 ,Std,0.13284344120442657,0.0
 ,Rank,2.0,1.0
F26,Avg,-1.9056760603889864,-1.908101698373676
 ,Std,0.015419497480379197,0.02232304001542647
 ,Rank,2.0,1.0
F27,Avg,5.777888434876277,2.894137402382376
 ,Std,0.9847422395277307,0.7028636083610045
 ,Rank,2.0,1.0
F28,Avg,66478227865.201065,7.609466740949308e-10
 ,Std,30175709809.482697,2.4912377106532e-09
 ,Rank,2.0,1.0
F29,Avg,33.256914413782624,-0.15764971580677548
 ,Std,19.40212161652098,1.9144932267357595
 ,Rank,2.0,1.0
F30,Avg,293.92596200906723,112.14205417729582
 ,Std,38.341285431715384,31.086377726432094
 ,Rank,2.0,1.0
F31,Avg,377626.546,21040.894907457474
 ,Std,172051.7991765302,31261.311767963743
 ,Rank,2.0,1.0
F32,Avg,22.134883191327877,1.4648734645306516
 ,Std,1.9365601786421789,2.9155230657986064
 ,Rank,2.0,1.0
F33,Avg,7589.658810969588,3605.049583449569
 ,Std,471.91591967084236,815.3353272703332
 ,Rank,2.0,1.0
F34,Avg,-141.61850078454435,-284.89413909397945
 ,Std,17.63788997901796,24.763891790951778
 ,Rank,1.0,2.0
F35,Avg,-39.51605533213659,-79.8589497620587
 ,Std,6.504490290902353,5.8984110576381
 ,Rank,1.0,2.0
F36,Avg,-3.2449177121257166e+24,-5.540021187906977e+31
 ,Std,1.053354880736898e+25,1.1714853053956122e+32
 ,Rank,1.0,2.0
F37,Avg,-726.054235,-1030.7904368185696
 ,Std,56.93452439603782,50.100659952995585
 ,Rank,1.0,2.0
F38,Avg,0.2480477182888429,0.0
 ,Std,0.25993349897243495,0.0
 ,Rank,2.0,1.0
F39,Avg,148948354312.44504,49627.85035176971
 ,Std,467517347354.8444,144480.28881305084
 ,Rank,2.0,1.0
F40,Avg,2.1115437499059086e-07,2.3321289359532668e-11
 ,Std,4.924073433325021e-07,5.089583688240909e-12
 ,Rank,2.0,1.0
F41,Avg,1.7318400204231371e-10,2.1113372235097987e-13
 ,Std,2.3462415206028485e-10,2.557190926220578e-13
 ,Rank,2.0,1.0
